date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2003-09-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.07,0.1448
2003-10-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.88,0.1262
2003-10-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.93,0.1328
2003-10-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.04,0.1488
2003-11-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.91,0.1351
2003-11-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.97,0.1444
2003-11-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.08,0.1615
2003-12-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.09,0.1731
2003-12-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.1,0.1738
2003-12-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.08,0.1706
2004-01-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.3,0.1787
2004-01-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.29,0.1776
2004-01-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.15,0.1582
2004-02-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.33,0.2008
2004-02-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.38,0.2085
2004-02-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.09,0.1641
2004-03-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.08,0.161
2004-03-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.22,0.1828
2004-03-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.04,0.1561
2004-04-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.11,0.1669
2004-04-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.2,0.1795
2004-04-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.07,0.1609
2004-05-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.05,0.1546
2004-05-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.08,0.1586
2004-05-15,Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.11,0.1637
